task_id,sex,ntree,mtry,nodesize,nsplit
1,Female,300,2,15,5
2,Female,300,2,20,5
3,Female,300,2,25,5
4,Female,300,4,15,5
5,Female,300,4,20,5
6,Female,300,4,25,5
7,Female,300,6,15,5
8,Female,300,6,20,5
9,Female,300,6,25,5
10,Female,350,2,15,5
11,Female,350,2,20,5
12,Female,350,2,25,5
13,Female,350,4,15,5
14,Female,350,4,20,5
15,Female,350,4,25,5
16,Female,350,6,15,5
17,Female,350,6,20,5
18,Female,350,6,25,5
19,Female,400,2,15,5
20,Female,400,2,20,5
21,Female,400,2,25,5
22,Female,400,4,15,5
23,Female,400,4,20,5
24,Female,400,4,25,5
25,Female,400,6,15,5
26,Female,400,6,20,5
27,Female,400,6,25,5
28,Male,300,2,15,5
29,Male,300,2,20,5
30,Male,300,2,25,5
31,Male,300,4,15,5
32,Male,300,4,20,5
33,Male,300,4,25,5
34,Male,300,6,15,5
35,Male,300,6,20,5
36,Male,300,6,25,5
37,Male,350,2,15,5
38,Male,350,2,20,5
39,Male,350,2,25,5
40,Male,350,4,15,5
41,Male,350,4,20,5
42,Male,350,4,25,5
43,Male,350,6,15,5
44,Male,350,6,20,5
45,Male,350,6,25,5
46,Male,400,2,15,5
47,Male,400,2,20,5
48,Male,400,2,25,5
49,Male,400,4,15,5
50,Male,400,4,20,5
51,Male,400,4,25,5
52,Male,400,6,15,5
53,Male,400,6,20,5
54,Male,400,6,25,5
